,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
119,120,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 41 СРЕДНАЯ ШКОЛА,206869016,800000,0.25,1,2019-10-31
120,121,Самарқанд вилояти,Каттақўрғон шаҳар,Бош иқтисодчи / Главный экономист,1-УРТА МАКТАБ,300470911,1045000,0.25,1,2019-10-31
121,122,Қорақалпоғистон Республикаси,Шўманай тумани,Тез тиббий ёрдам кўчма бригадаси врач-мутахассиси / Врач-специалист выездной бригады скорой медицинской помощи,ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1895054,1.0,26,2019-10-31
122,123,Тошкент шаҳри,Олмазор тумани,ўқитувчи / Учитель,ORASTA 94-SON DA.MAK.T.V.B.T.M,301248274,807291,0.5,1,2019-10-31
123,124,Фарғона вилояти,Марғилон шаҳар,Тренер / Тренер,2-BO`SM,303911027,1085798,1.0,5,2019-10-31
124,125,Самарқанд вилояти,Каттақўрғон шаҳар,ўқитувчи / Учитель,14-МАКТАБ,200722314,1309500,1.0,1,2019-10-31
125,126,Қорақалпоғистон Республикаси,Чимбой тумани,Ахборот ва информацион материалларни сараловчи / Подборщик справочного и информационного материала,"""KOMPYUTER SERVIS SHIMBAY"" ЖУУАПКЕРШИЛИГИ ШЕКЛЕНГЕН ЖАМИЙЕТИ",303838021,750000,1.0,1,2019-10-31
126,127,Самарқанд вилояти,Каттақўрғон шаҳар,Чизмачи / Чертежник,1-УРТА МАКТАБ,300470911,1045000,0.25,1,2019-10-31
127,128,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,1,2019-10-31
128,129,Тошкент шаҳри,Олмазор тумани,Мусиқий ходим / Музыкальный работник,ORASTA 94-SON DA.MAK.T.V.B.T.M,301248274,869441,1.0,1,2019-10-31
129,130,Фарғона вилояти,Марғилон шаҳар,Спорт шифокори / Спортивный врач,2-BO`SM,303911027,780268,0.5,1,2019-10-31
130,131,Тошкент шаҳри,Олмазор тумани,Тахловчи-ўровчи / Укладчик-упаковщик,ООО GRAND PLAST ELITE,302385896,700000,1.0,2,2019-10-31
131,132,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1785541,1.0,3,2019-10-31
132,133,Тошкент шаҳри,Олмазор тумани,Тарбиячи / Воспитатель,ORASTA 94-SON DA.MAK.T.V.B.T.M,301248274,1038733,1.0,1,2019-10-31
133,134,Фарғона вилояти,Марғилон шаҳар,кўча тозаловчи / Дворник,2-BO`SM,303911027,476160,0.75,1,2019-10-31
134,135,Хоразм вилояти,Урганч тумани,ўқитувчи / Учитель,14-СОН УМУМИЙ УРТА ТАЪЛИМ МАКТ,206906071,177000,0.25,1,2019-10-31
