,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
1093,1094,Қорақалпоғистон Республикаси,Элликқалъа тумани,Иссиқхона ва парниклар оператори / Оператор теплиц и парников,ООО AGRO EKSIM GOLD,305216651,800000,1.0,6,2019-10-31
1094,1095,Самарқанд вилояти,Иштихон тумани,ўқитувчи / Преподаватель,15 УМУМТАЪЛИМ МАКТАБИ,206897773,532000,0.5,1,2019-10-31
1095,1096,Андижон вилояти,Андижон шаҳар,Хизмат хоналари фарроши / Уборщик служебных помещений,29-УРТА МАКТАБ,203588606,634481,1.0,1,2019-10-31
1096,1097,Тошкент шаҳри,Шайхонтохур тумани,Меҳнат муҳофазаси ва техника хавфсизлиги бўйича мухандис / Инженер по охране труда и технике безопасности,O`ZBEKISTON DAVLAT DRAMA TEATRI,200936300,878843,1.0,1,2019-10-31
1097,1098,Тошкент шаҳри,Чилонзор тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",CHDS-VYTAS MCHJ,204757039,700000,1.0,1,2019-10-31
1098,1099,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 47 СРЕДНАЯ ШКОЛА,206869055,968748,1.0,1,2019-10-31
1099,1100,Қорақалпоғистон Республикаси,Қўнғирот тумани,ўт ёқувчи / Истопник,N-3 СПОРТ МЕКТЕП,204129011,577172,1.0,1,2019-10-31
1100,1101,Тошкент шаҳри,Мирзо Улуғбек тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",MKDP,202923498,308352,0.25,1,2019-10-31
1101,1102,Андижон вилояти,Андижон шаҳар,ўт ёқувчи / Истопник,29-УРТА МАКТАБ,203588606,634882,1.0,1,2019-10-31
1102,1103,Тошкент шаҳри,Шайхонтохур тумани,"Телемеханика, сигнализация ва видеокузатув қўриқлаш тизими воситаларига хизмат кўрсатиш муҳандиси / Инженер по обслуживанию средств телемеханики, охранной системы сигнализации и видеонаблюдения",O`ZBEKISTON DAVLAT DRAMA TEATRI,200936300,878843,1.0,1,2019-10-31
1103,1104,Тошкент шаҳри,Чилонзор тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",CHDS-VYTAS MCHJ,204757039,680000,1.0,1,2019-10-31
1104,1105,Қорақалпоғистон Республикаси,Қўнғирот тумани,ўт ёқувчи / Истопник,N-3 СПОРТ МЕКТЕП,204129011,577172,1.0,1,2019-10-31
1105,1106,Тошкент шаҳри,Мирзо Улуғбек тумани,Иқтисодчи / Экономист,MKDP,202923498,470334,0.5,1,2019-10-31
1106,1107,Сурхондарё вилояти,Сариосиё тумани,ўқитувчи / Учитель,73-СОНЛИ УМУМИЙ УРТА ТАЪЛИМ   МАКТАБИ,206974701,1525000,1.0,1,2019-10-31
1107,1108,Навоий вилояти,Қизилтепа тумани,Мусиқа раҳбари / Руководитель музыкальный,"""2-СОH"" МАКТАБГАЧА ТАЪЛИМ     МУАССАСАСИ",207086286,280000,0.25,1,2019-10-31
1108,1109,Тошкент шаҳри,Шайхонтохур тумани,Декоратор / Декоратор,O`ZBEKISTON DAVLAT DRAMA TEATRI,200936300,1098554,1.0,1,2019-10-31
1109,1110,Тошкент шаҳри,Яшнобод тумани,Экскурсовод / Экскурсовод,UZCARLSBERG СП В ВИДЕ ООО,205768087,2000000,1.0,1,2019-10-31
1110,1111,Тошкент шаҳри,Чилонзор тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",CHDS-VYTAS MCHJ,204757039,680000,1.0,1,2019-10-31
1111,1112,Тошкент шаҳри,Мирзо Улуғбек тумани,Кадрлар бўйича инспектор / Инспектор по кадрам,MKDP,202923498,258188,0.5,1,2019-10-31
1112,1113,Хоразм вилояти,Урганч тумани,ўқитувчи / Учитель,18-СОН УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203411690,621614,0.5,1,2019-10-31
1113,1114,Сурхондарё вилояти,Сариосиё тумани,ўт ёқувчи / Истопник,73-СОНЛИ УМУМИЙ УРТА ТАЪЛИМ   МАКТАБИ,206974701,632000,1.0,1,2019-10-31
1114,1115,Навоий вилояти,Қизилтепа тумани,қоровул / Вахтер (сторож),"""2-СОH"" МАКТАБГАЧА ТАЪЛИМ     МУАССАСАСИ",207086286,700000,0.75,1,2019-10-31
1115,1116,Тошкент шаҳри,Шайхонтохур тумани,Балет бўйича репетитор / Репетитор по балету,O`ZBEKISTON DAVLAT DRAMA TEATRI,200936300,2031019,1.0,1,2019-10-31
1116,1117,Тошкент шаҳри,Чилонзор тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",CHDS-VYTAS MCHJ,204757039,680000,1.0,1,2019-10-31
1117,1118,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,3 УЛЫУМА ОРТА БИЛИМ БЕРИУ    МЕКТЕБИ,206883388,425000,0.5,1,2019-10-31
1118,1119,Қорақалпоғистон Республикаси,Элликқалъа тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,ЭЛЛИККАЛЪА ТУМАН МАРКАЗИЙ КАСАЛХОНАСИ,200914296,1066163,1.0,1,2019-10-31
1119,1120,Хоразм вилояти,Урганч тумани,ўт ёқувчи / Истопник,18-СОН УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203411690,740694,1.0,3,2019-10-31
1120,1121,Навоий вилояти,Қизилтепа тумани,ўт ёқувчи / Истопник,УЧРЕЖДЕНИЕ ,305079349,800000,1.0,2,2019-10-31
1121,1122,Тошкент шаҳри,Чилонзор тумани,кўча тозаловчи / Дворник,CHDS-VYTAS MCHJ,204757039,638000,1.0,1,2019-10-31
1122,1123,Қорақалпоғистон Республикаси,Элликқалъа тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,ЭЛЛИККАЛЪА ТУМАН МАРКАЗИЙ КАСАЛХОНАСИ,200914296,1066163,1.0,1,2019-10-31
1123,1124,Самарқанд вилояти,Каттақўрғон шаҳар,ўқитувчи / Учитель,6 УРТА МАКТАБ,203443802,1614582,1.0,1,2019-10-31
1124,1125,Сирдарё вилояти,Оқолтин тумани,ўқитувчи / Учитель,5-УРТА МАКТАБ,203353448,852145,1.0,1,2019-10-31
1125,1126,Фарғона вилояти,Марғилон шаҳар,Бухгалтер / Бухгалтер,МИЛЛИЙ БАНК БУЛИМИ МАРГ.ШАХРИ.,201938162,1822074,1.0,1,2019-10-31
1126,1127,Тошкент шаҳри,Чилонзор тумани,Аёллар сартароши / Парикмахер женский,SHAVKATDA XK,201079433,650000,1.0,1,2019-10-31
1127,1128,Фарғона вилояти,Марғилон шаҳар,Етакчи мутахассис / Ведущий специалист,МИЛЛИЙ БАНК БУЛИМИ МАРГ.ШАХРИ.,201938162,1559900,1.0,2,2019-10-31
1128,1129,Сирдарё вилояти,Мирзаобод тумани,Пряжа ўровчи / Намотчик пряжи,ООО GULISTAN GOLD YARN,303071772,750000,1.0,5,2019-10-31
1129,1130,Сурхондарё вилояти,Шеробод тумани,ўқитувчи / Учитель,7-СОН УУТ МАКТАБИ,203478860,1200000,1.0,2,2019-10-31
1130,1131,Қорақалпоғистон Республикаси,Қораўзак тумани,ўт ёқувчи / Истопник,КАРАУЗЯКСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОФЕССИОНАЛЬНЫЙ КОЛЛЕДЖ,200402862,650000,1.0,3,2019-10-31
1131,1132,Фарғона вилояти,Бешариқ тумани,ўқитувчи / Преподаватель,БЕШАРИК ТУМАНИ 33-УРТА МАКТАБ,203286436,750000,0.5,1,2019-10-31
1132,1133,Фарғона вилояти,Марғилон шаҳар,Корхона директори (бошқарувчиси) / Директор (управляющий) предприятия,МИЛЛИЙ БАНК БУЛИМИ МАРГ.ШАХРИ.,201938162,2181956,1.0,1,2019-10-31
1133,1134,Самарқанд вилояти,Каттақўрғон шаҳар,Ошпаз / Повар,ОЛЧИНБЕК К ФИРМАСИ,203538398,1300000,1.0,15,2019-10-31
1134,1135,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,5-BOLALAR STOMATOLOGIK POLIKLI,203194131,1638562,1.0,7,2019-10-31
1135,1136,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,БЕШАРИК ТУМАНИ 33-УРТА МАКТАБ,203286436,602000,1.0,6,2019-10-31
1136,1137,Тошкент шаҳри,Чилонзор тумани,Бўлим бошлиғи (тижорат ташкилотларида) / Начальник отдела (в коммерческих организациях),XALQ BANKI DT BOSH AMALIYOT B.,207215726,1318353,1.0,1,2019-10-31
1137,1138,Фарғона вилояти,Фарғона тумани,Психолог / Психолог,35-МТМ ФАРГОНА ТН ХТБУЛ,207039328,870000,0.5,1,2019-10-31
1138,1139,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,5-BOLALAR STOMATOLOGIK POLIKLI,203194131,1119262,1.0,4,2019-10-31
1139,1140,Тошкент шаҳри,Олмазор тумани,Офис бўйича менеджер / Офис менеджер (менеджер офиса),ZAFARXON MCHJ,200658228,1800000,1.0,1,2019-10-31
1140,1141,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,45-МАКТАБ,206913436,950000,0.75,1,2019-10-31
1141,1142,Қорақалпоғистон Республикаси,Амударё тумани,Корхона печлари ўт ёқувчиси / Кочегар производственных печей,1-СОНЛИ БОГЧА,207004711,634880,1.0,1,2019-10-31
1142,1143,Навоий вилояти,Қизилтепа тумани,ўқитувчи / Учитель,9-СОH  МАКТАБ,203381754,1200000,1.0,1,2019-10-31
1143,1144,Қорақалпоғистон Республикаси,Амударё тумани,Корхона печлари ўт ёқувчиси / Кочегар производственных печей,1-СОНЛИ БОГЧА,207004711,634880,1.0,1,2019-10-31
1144,1145,Андижон вилояти,Булоқбоши тумани,Оператор / Оператор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SKORTON TEKSTIL """,204630410,900000,1.0,5,2019-10-31
1145,1146,Фарғона вилояти,Учкўприк тумани,қоровул / Вахтер (сторож),2-СОНЛИ МАКТАБГАЧА ТАЪЛИМ     МУАССАСАСИ,207057947,805000,1.0,1,2019-10-31
1146,1147,Андижон вилояти,Булоқбоши тумани,Юк ташувчи / Носильщик,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SKORTON TEKSTIL """,204630410,850000,1.0,5,2019-10-31
1147,1148,Фарғона вилояти,Боғдод тумани,Техник назорат бўлими назоратчиси / Контролер отдела технического контроля,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""UMID BUXGALTERIYA MARKAZI""",306000525,750000,1.0,15,2019-10-31
1148,1149,Фарғона вилояти,Риштон тумани,ўт ёқувчи / Истопник,27-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203247293,654856,1.0,2,2019-10-31
1149,1150,Қорақалпоғистон Республикаси,Чимбой тумани,Ишчи радиометрист / Рабочий радиометрист,LANEXTRAKT  ЖШЖ СП,206285980,750000,1.0,5,2019-10-31
1150,1151,Фарғона вилояти,Бешариқ тумани,Тарбиячи ёрдамчиси / Помощник воспитателя,Бахтли Болажон хусусий МТМ,523173606,502000,1.0,2,2019-10-31
1151,1152,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,8-МАКТАБ,206913357,1300000,1.0,1,2019-10-31
1152,1153,Сурхондарё вилояти,Сариосиё тумани,Ёрдамчи ишчи / Подсобный рабочий,НУРМАТ-ЖАХОН ХУСУСИЙ          КОРХОНАСИ,206162350,950000,1.0,20,2019-10-31
1153,1154,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,8-МАКТАБ,206913357,950000,1.0,1,2019-10-31
1154,1155,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 16 СРЕДНАЯ ШКОЛА,206868760,219000,0.25,1,2019-10-31
1155,1156,Хоразм вилояти,Урганч шаҳар,ўқитувчи / Преподаватель,15-СОН УМУМИЙ УРТА МАКТАБ,205411888,1600000,1.0,1,2019-10-31
1156,1157,Тошкент шаҳри,Шайхонтохур тумани,Биолог / Биолог,O`LATKARANTIN VA YUQUMLI KASA,200936048,1541761,1.0,4,2019-10-31
1157,1158,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1716716,1.0,3,2019-10-31
1158,1159,Хоразм вилояти,Урганч шаҳар,ўқитувчи / Преподаватель,15-СОН УМУМИЙ УРТА МАКТАБ,205411888,800000,0.5,1,2019-10-31
1159,1160,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт врачи / Врач общей практики,O`LATKARANTIN VA YUQUMLI KASA,200936048,1726773,1.0,3,2019-10-31
1160,1161,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1418421,1.0,2,2019-10-31
1161,1162,Самарқанд вилояти,Каттақўрғон шаҳар,Моторчи (машинист) / Моторист (машинист),МЕХАНИЗАЦИЯЛАШГАН КОЛНА 12 МЧЖ,200721047,933778,1.0,1,2019-10-31
1162,1163,Хоразм вилояти,Урганч шаҳар,ўқитувчи / Преподаватель,15-СОН УМУМИЙ УРТА МАКТАБ,205411888,800000,0.5,1,2019-10-31
1163,1164,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 19 СРЕДНАЯ ШКОЛА,206868792,959780,0.75,1,2019-10-31
1164,1165,Тошкент шаҳри,Шайхонтохур тумани,Дезинфектор / Дезинфектор,O`LATKARANTIN VA YUQUMLI KASA,200936048,853880,1.0,6,2019-10-31
1165,1166,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1560535,1.0,1,2019-10-31
1166,1167,Қорақалпоғистон Республикаси,Беруний тумани,Ёрдамчи ишчи / Разнорабочий,ARALQURILISH-MONTAJ STROY МЧЖ,305191281,650000,1.0,20,2019-10-31
1167,1168,Хоразм вилояти,Урганч шаҳар,ўқитувчи / Преподаватель,15-СОН УМУМИЙ УРТА МАКТАБ,205411888,400000,0.25,1,2019-10-31
1168,1169,Тошкент шаҳри,Шайхонтохур тумани,Юк ташувчи автомобил ҳайдовчиси / Водитель автомобиля (грузового),O`LATKARANTIN VA YUQUMLI KASA,200936048,807603,1.0,4,2019-10-31
1169,1170,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1560535,1.0,1,2019-10-31
1170,1171,Самарқанд вилояти,Пайариқ тумани,Тарбиячи / Воспитатель,15-СОН МАКТАБГАЧА ТАЪЛИМ МУАСС,207275558,478044,0.5,1,2019-10-30
1171,1172,Самарқанд вилояти,Пайариқ тумани,Болалар мактабгача таълим муассасаси ўқитувчиси / Учитель детских дошкольных учреждений,1-СОН НАВРУЗ НОМЛИ МАКТАБГАЧА ТАЪЛИМ МУАССАСАСИ,207003863,484374,0.25,2,2019-10-30
1172,1173,Хоразм вилояти,Урганч шаҳар,Ташкилотчи-педагог / Педагог-организатор,ТИХ.УЗЛИДЕП ХОР ВИЛ КЕНГАШИ,207069963,2030092,1.0,1,2019-10-30
1173,1174,Наманган вилояти,Косонсой тумани,Корхона печлари ўт ёқувчиси / Кочегар производственных печей,45-СОНЛИ УРТА МАКТАБ,206895680,634883,1.0,3,2019-10-30
1174,1175,Сирдарё вилояти,Боёвут тумани,Ижтимоий педагог / Педагог социальный,11-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206874446,513586,0.25,1,2019-10-30
1175,1176,Тошкент шаҳри,Мирзо Улуғбек тумани,Биноларга комплекс хизмат кўрсатиш ва таъмирлаш бўйича ишчи / Рабочий по комплексному обслуживанию и ремонту зданий,O ZAVTOYO L DAK MBF DIREKSIYAS,202756999,735231,1.0,2,2019-10-30
1176,1177,Хоразм вилояти,Урганч шаҳар,"Бўлим бош мутахассиси (транспорт, алоқа ва таъминотда) / Главный специалист отдела (на транспорте, в связи, снабжении)",ШОШИЛ.ТИБ.ЁРДАМ ИЛ МАР ХОР ФИЛ,201989155,678798,1.0,1,2019-10-30
1177,1178,Андижон вилояти,Андижон тумани,қоровул / Вахтер (сторож),ДОУ 4-SON DAVLAT,207036047,640000,1.0,2,2019-10-30
1178,1179,Тошкент шаҳри,Мирзо Улуғбек тумани,Сантехник жихозларга қаровчи ва уларни таъмирловчи ишчи / Рабочий по ремонту и обслуживанию сантехнического оборудования,O ZAVTOYO L DAK MBF DIREKSIYAS,202756999,878843,1.0,2,2019-10-30
1179,1180,Сурхондарё вилояти,Сариосиё тумани,ўт ёқувчи / Истопник,3-СОНЛИ НАВРУЗ БОГЧАСИ,207088964,632000,1.0,2,2019-10-30
1180,1181,Тошкент шаҳри,Миробод тумани,Мухандис / Заготовщик такелажа инженерного имущества,TOSHKENT UNIVERMAGI AJ,201052357,1228000,0.75,1,2019-10-30
1181,1182,Хоразм вилояти,Урганч шаҳар,Радиоалоқа мосламалари поезд ва станцион жиҳозларини эксплуатация ва таъмирлаш бўйича электр устаси / Электромонтер по эксплуатации и ремонту станционного и поездного оборудования устройств радиосвязи,ШОШИЛ.ТИБ.ЁРДАМ ИЛ МАР ХОР ФИЛ,201989155,678798,1.0,1,2019-10-30
1182,1183,Тошкент шаҳри,Мирзо Улуғбек тумани,Бухгалтерия ҳисоби ва хўжалик фаолиятини таҳлил қилиш бўйича иқтисодчи / Экономист по бухгалтерскому учету и анализу хозяйственной деятельности,O ZAVTOYO L DAK MBF DIREKSIYAS,202756999,597863,0.5,1,2019-10-30
1183,1184,Қорақалпоғистон Республикаси,Тахиатош,ўқитувчи / Преподаватель,N 38 ОРТА МЕКТЕП,203260034,453877,0.25,1,2019-10-30
1184,1185,Тошкент шаҳри,Миробод тумани,Бренд-менеджер / Брэнд-менеджер,TOSHKENT UNIVERMAGI AJ,201052357,1228000,1.0,1,2019-10-30
1185,1186,Хоразм вилояти,Урганч шаҳар,Уяли телефон аппаратларини таъмирлаш бўйича уста / Мастер по ремонту сотовых телефонных аппаратов,ШОШИЛ.ТИБ.ЁРДАМ ИЛ МАР ХОР ФИЛ,201989155,678798,1.0,1,2019-10-30
1186,1187,Тошкент шаҳри,Мирзо Улуғбек тумани,Етакчи мутахассис / Ведущий специалист,O ZAVTOYO L DAK MBF DIREKSIYAS,202756999,955332,0.75,2,2019-10-30
1187,1188,Қорақалпоғистон Республикаси,Тахиатош,ўқитувчи / Преподаватель,N 38 ОРТА МЕКТЕП,203260034,1726738,0.75,1,2019-10-30
1188,1189,Хоразм вилояти,Урганч шаҳар,Информацион материални қайта ишловчи / Обработчик информационного материала,ШОШИЛ.ТИБ.ЁРДАМ ИЛ МАР ХОР ФИЛ,201989155,622131,1.0,1,2019-10-30
1189,1190,Тошкент шаҳри,Мирзо Улуғбек тумани,Тўгарак (жамоа) раҳбари / Руководитель кружка (коллектива),TOSH.SH.BARKAMOL AVLOD BOLALAR,302049545,845770,1.0,17,2019-10-30
1190,1191,Наманган вилояти,Косонсой тумани,ўқитувчи / Учитель,51-СОНЛИ УРТА МАКТАБ,206907284,888020,0.5,1,2019-10-30
1191,1192,Сирдарё вилояти,Ширин шаҳар,Тўгарак (жамоа) раҳбари / Руководитель кружка (коллектива),MADANIYAT BO`LIMI,207254568,521117,0.5,1,2019-10-30
1192,1193,Тошкент шаҳри,Чилонзор тумани,Халқаро муносабатлар ва ташқи сиёсат бўйича мутахассис / Специалист по международным отношениям и внешней политике,HUNARMAND АССОЦИАЦИЯ,202328944,2000000,1.0,1,2019-10-30
1193,1194,Хоразм вилояти,Урганч шаҳар,Радио ва телевидение воситалари электрмонтажчиси / Электромонтажник средств радио и телевидения,ШОШИЛ.ТИБ.ЁРДАМ ИЛ МАР ХОР ФИЛ,201989155,567875,1.0,1,2019-10-30
1194,1195,Қорақалпоғистон Республикаси,Нукус тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",КР МАЙЫПЛАР РЕАБИЛИТАЦИЯ КЫЛЫУ ХАМ ПРОТЕЗЛЕУ ОРАЙЫ,202360757,1233419,1.0,10,2019-10-30
1195,1196,Наманган вилояти,Косонсой тумани,ўқитувчи / Учитель,51-СОНЛИ УРТА МАКТАБ,206907284,888020,0.5,1,2019-10-30
1196,1197,Сирдарё вилояти,Ширин шаҳар,Электромонтер / Электромонтер,MADANIYAT BO`LIMI,207254568,351007,0.5,1,2019-10-30
1197,1198,Тошкент шаҳри,Чилонзор тумани,Масъул ташкилотчи / Ответственный организатор,HUNARMAND АССОЦИАЦИЯ,202328944,2000000,1.0,1,2019-10-30
1198,1199,Фарғона вилояти,Учкўприк тумани,Гидротехник иншоотларни назорат қилувчи / Надзорщик гидротехнических сооружений,UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,638194,1.0,3,2019-10-30
1199,1200,Наманган вилояти,Косонсой тумани,ўқитувчи / Учитель,51-СОНЛИ УРТА МАКТАБ,206907284,888020,0.5,1,2019-10-30
1200,1201,Тошкент шаҳри,Чилонзор тумани,Психолог / Психолог,281-SONLI UMUM.O`TRA TA`L.MAKT,206876823,1598436,1.0,1,2019-10-30
1201,1202,Фарғона вилояти,Учкўприк тумани,Етакчи мутахассис / Ведущий специалист,ТУМАН ХАЛК ТАЪЛИМИ БУЛИМИ,200192517,710000,1.0,1,2019-10-30
1202,1203,Фарғона вилояти,Учкўприк тумани,Техник-гидрометр / Техник-гидрометр,UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,384376,0.5,1,2019-10-30
1203,1204,Тошкент шаҳри,Чилонзор тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,281-SONLI UMUM.O`TRA TA`L.MAKT,206876823,1776640,0.5,1,2019-10-30
1204,1205,Андижон вилояти,Избоскан тумани,ўқитувчи / Учитель,ИЗБОСКАН ТУМАН 14-МАКТАБГАЧА  ТАЪЛИМ МУАССАСАСИ,207077899,556600,0.25,1,2019-10-30
1205,1206,Фарғона вилояти,Учкўприк тумани,Юк ташувчи автомобил ҳайдовчиси / Водитель автомобиля (грузового),UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,607582,1.0,1,2019-10-30
1206,1207,Сирдарё вилояти,Оқолтин тумани,ўқитувчи / Учитель,БАРКАМОЛ АВЛОД БМ,207122945,865320,1.0,2,2019-10-30
1207,1208,Тошкент шаҳри,Чилонзор тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,281-SONLI UMUM.O`TRA TA`L.MAKT,206876823,1776640,0.5,1,2019-10-30
1208,1209,Андижон вилояти,Избоскан тумани,қўриқчи / Охранник,ИЗБОСКАН ТУМАН 14-МАКТАБГАЧА  ТАЪЛИМ МУАССАСАСИ,207077899,592377,1.0,2,2019-10-30
1209,1210,Фарғона вилояти,Учкўприк тумани,Бош пайвандчи / Главный сварщик,UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,577172,1.0,1,2019-10-30
1210,1211,Сирдарё вилояти,Оқолтин тумани,Электр устаси / Крановой электрик,БАРКАМОЛ АВЛОД БМ,207122945,769120,1.0,1,2019-10-30
1211,1212,Хоразм вилояти,Урганч шаҳар,ўқитувчи / Учитель,URG.SH.SSIBU SPORT MAKTABI,207031838,1002275,1.0,4,2019-10-30
1212,1213,Тошкент шаҳри,Сергели тумани,Кондуктор (чиптачи) / Кондуктор,4-AVTOBUS SAROYI,200640694,900000,1.0,25,2019-10-30
1213,1214,Самарқанд вилояти,Нуробод тумани,ўқитувчи / Учитель,34-УМУМТАЪЛИМ МАКТАБ НУРОБОД Т,206898724,1600000,1.0,1,2019-10-30
1214,1215,Андижон вилояти,Избоскан тумани,ўт ёқувчи / Истопник,ИЗБОСКАН ТУМАН 14-МАКТАБГАЧА  ТАЪЛИМ МУАССАСАСИ,207077899,526600,1.0,2,2019-10-30
1215,1216,Фарғона вилояти,Учкўприк тумани,Электрчилангар-контактчи / Электрослесарь-контактчик,UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,577172,1.0,1,2019-10-30
1216,1217,Наманган вилояти,Косонсой тумани,Психолог / Психолог,33-СОНЛИ МАКТАБГАЧА ТАЪЛИМ М.,207071844,650000,0.5,1,2019-10-30
1217,1218,Наманган вилояти,Тўрақўрғон тумани,Тарбиячи ёрдамчиси / Помощник воспитателя,5-СОНЛИ МАКТАБГАЧА ТАЪЛИМ     МУАССАСАСИ,207033099,475000,0.5,1,2019-10-30
1218,1219,Самарқанд вилояти,Пайариқ тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,69 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206891806,1500000,1.0,1,2019-10-30
1219,1220,Тошкент шаҳри,Сергели тумани,Автобус ҳайдовчиси / Водитель автобусов,4-AVTOBUS SAROYI,200640694,1500000,1.0,34,2019-10-30
1220,1221,Андижон вилояти,Андижон тумани,ўт ёқувчи / Истопник,18-УМУМ ТАЪЛИМ МАКТАБИ,203332323,634000,1.0,3,2019-10-30
1221,1222,Қорақалпоғистон Республикаси,Нукус тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,N28 САНЛЫ ОРТА МЕКТЕП.,206871134,290000,0.25,1,2019-10-30
1222,1223,Фарғона вилояти,Учкўприк тумани,Гидротехник / Гидротехник,UCHKO`PRIK TUMAN IRRIGATSIYA,305080934,910000,1.0,1,2019-10-30
1223,1224,Қорақалпоғистон Республикаси,Амударё тумани,қозончи / Котельщик,46-СОН УМУМИЙ УРТА МАКТАБ,205678168,317440,0.5,1,2019-10-30
1224,1225,Сирдарё вилояти,Мирзаобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,МТУЛАБОЕВ НОМЛИ 9-У.У.Т.МАКТ.,206859258,300000,0.25,1,2019-10-30
1225,1226,Тошкент шаҳри,Сергели тумани,Таъмирловчи-чилангар / Слесарь-ремонтник,4-AVTOBUS SAROYI,200640694,852009,1.0,3,2019-10-30
1226,1227,Қорақалпоғистон Республикаси,Амударё тумани,қозончи / Котельщик,46-СОН УМУМИЙ УРТА МАКТАБ,205678168,317440,0.5,1,2019-10-30
1227,1228,Сирдарё вилояти,Мирзаобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,МТУЛАБОЕВ НОМЛИ 9-У.У.Т.МАКТ.,206859258,600000,0.5,1,2019-10-30
1228,1229,Сирдарё вилояти,Янгиер шаҳар,ўқитувчи / Учитель,2-УМУМТАЪЛИМ МАКТАБИ,203275814,1776040,1.0,1,2019-10-30
1229,1230,Тошкент шаҳри,Сергели тумани,Газда пайвандловчи / Газосварщик,4-AVTOBUS SAROYI,200640694,779633,1.0,1,2019-10-30
1230,1231,Самарқанд вилояти,Пайариқ тумани,Болалар мактабгача таълим муассасаси ўқитувчиси / Учитель детских дошкольных учреждений,24-СОН МТМ,207276058,355208,0.25,1,2019-10-30
1231,1232,Жиззах вилояти,Арнасой тумани,Тўгарак (жамоа) раҳбари / Руководитель кружка (коллектива),БАРКАМОЛ АВЛОД БМ,207124855,669000,1.0,1,2019-10-30
